Level	Date and Time	Source	Event ID	Task Category
Error	2020/07/01 15:43:31	VBoxNetLwf	12	None	The driver detected an internal driver error on \Device\VBoxNetLwf.
Error	2020/07/01 15:40:35	VSS	8193	None	"Volume Shadow Copy Service error: Unexpected error calling routine CoCreateInstance.  hr = 0x8007045b, A system shutdown is in progress.
. "
Error	2020/07/01 15:40:35	VSS	13	None	"Volume Shadow Copy Service information: The COM Server with CLSID {4e14fba2-2e22-11d1-9964-00c04fbbb345} and name CEventSystem cannot be started. [0x8007045b, A system shutdown is in progress.
] "
Error	2020/07/01 15:40:35	VSS	8193	None	"Volume Shadow Copy Service error: Unexpected error calling routine CoCreateInstance.  hr = 0x8007045b, A system shutdown is in progress.
. "
Error	2020/07/01 15:40:35	VSS	13	None	"Volume Shadow Copy Service information: The COM Server with CLSID {4e14fba2-2e22-11d1-9964-00c04fbbb345} and name CEventSystem cannot be started. [0x8007045b, A system shutdown is in progress.
] "
Error	2020/07/01 15:40:35	VSS	8193	None	"Volume Shadow Copy Service error: Unexpected error calling routine CoCreateInstance.  hr = 0x8007045b, A system shutdown is in progress.
. "
Error	2020/07/01 15:40:35	VSS	13	None	"Volume Shadow Copy Service information: The COM Server with CLSID {4e14fba2-2e22-11d1-9964-00c04fbbb345} and name CEventSystem cannot be started. [0x8007045b, A system shutdown is in progress.
] "
Error	2020/07/01 15:40:35	VSS	8193	None	"Volume Shadow Copy Service error: Unexpected error calling routine CoCreateInstance.  hr = 0x8007045b, A system shutdown is in progress.
. "
Error	2020/07/01 15:40:35	VSS	13	None	"Volume Shadow Copy Service information: The COM Server with CLSID {4e14fba2-2e22-11d1-9964-00c04fbbb345} and name CEventSystem cannot be started. [0x8007045b, A system shutdown is in progress.
] "
Error	2020/07/01 14:41:41	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/07/01 14:14:41	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/07/01 14:03:47	Application Hang	1002	(101)	"The program pythonw.exe version 3.7.6150.1013 stopped interacting with Windows and was closed. To see if more information about the problem is available, check the problem history in the Security and Maintenance control panel.
 Process ID: 2ae8
 Start Time: 01d64f9f7d3cdbaf
 Termination Time: 17
 Application Path: C:\anaconda3\pythonw.exe
 Report Id: e815ac08-5a97-4331-8cac-d534a9c91ec0
 Faulting package full name: 
 Faulting package-relative application ID: 
 Hang type: Unknown
"
Error	2020/07/01 14:02:13	Application Hang	1002	(101)	"The program pythonw.exe version 3.7.6150.1013 stopped interacting with Windows and was closed. To see if more information about the problem is available, check the problem history in the Security and Maintenance control panel.
 Process ID: 2244
 Start Time: 01d64f9f2c719359
 Termination Time: 5
 Application Path: C:\anaconda3\pythonw.exe
 Report Id: f397c3af-9f00-4cdf-9825-9956a416d420
 Faulting package full name: 
 Faulting package-relative application ID: 
 Hang type: Unknown
"
Error	2020/07/01 14:00:42	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/07/01 14:00:12	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/07/01 13:59:44	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/07/01 13:59:12	Microsoft-Windows-CertificateServicesClient-CertEnroll	86	None	"SCEP Certificate enrollment initialization for WORKGROUP\DESKTOP-ONOT1F3$ via https://IFX-KeyId-32c6e576663fee80d64cdd7b18e5603863b3bc8a.microsoftaik.azure.net/templates/Aik/scep failed:

GetCACaps

Method: GET(0ms)
Stage: GetCACaps
The server name or address could not be resolved 0x80072ee7 (WinHttp: 12007 ERROR_WINHTTP_NAME_NOT_RESOLVED)"
Error	2020/07/01 13:59:10	Microsoft-Windows-CertificateServicesClient-CertEnroll	86	None	"SCEP Certificate enrollment initialization for WORKGROUP\DESKTOP-ONOT1F3$ via https://IFX-KeyId-32c6e576663fee80d64cdd7b18e5603863b3bc8a.microsoftaik.azure.net/templates/Aik/scep failed:

GetCACaps

Method: GET(16ms)
Stage: GetCACaps
The server name or address could not be resolved 0x80072ee7 (WinHttp: 12007 ERROR_WINHTTP_NAME_NOT_RESOLVED)"
Error	2020/07/01 13:59:01	Service Control Manager	7000	None	"The ImControllerService service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/07/01 13:58:57	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/07/01 13:58:55	VBoxNetLwf	12	None	The driver detected an internal driver error on \Device\VBoxNetLwf.
Error	2020/07/01 13:58:13	Application Hang	1002	(101)	"The program pythonw.exe version 3.7.6150.1013 stopped interacting with Windows and was closed. To see if more information about the problem is available, check the problem history in the Security and Maintenance control panel.
 Process ID: 15fc
 Start Time: 01d64f9eb8a47be4
 Termination Time: 27
 Application Path: C:\anaconda3\pythonw.exe
 Report Id: 3e1af68f-03d5-4561-ad55-d7ffd644e6f9
 Faulting package full name: 
 Faulting package-relative application ID: 
 Hang type: Cross-process
"
Error	2020/07/01 13:56:51	Application Hang	1002	(101)	"The program pythonw.exe version 3.7.6150.1013 stopped interacting with Windows and was closed. To see if more information about the problem is available, check the problem history in the Security and Maintenance control panel.
 Process ID: 1b28
 Start Time: 01d64f9e5a5d7b38
 Termination Time: 5
 Application Path: C:\anaconda3\pythonw.exe
 Report Id: aaf0b7b9-e2bc-49ca-9ca5-fe3477adb6ab
 Faulting package full name: 
 Faulting package-relative application ID: 
 Hang type: Unknown
"
Error	2020/06/30 21:30:23	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/06/30 21:16:24	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/06/30 21:15:53	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/06/30 21:15:25	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/06/30 21:14:32	Microsoft-Windows-CertificateServicesClient-CertEnroll	86	None	"SCEP Certificate enrollment initialization for WORKGROUP\DESKTOP-ONOT1F3$ via https://IFX-KeyId-32c6e576663fee80d64cdd7b18e5603863b3bc8a.microsoftaik.azure.net/templates/Aik/scep failed:

GetCACaps

Method: GET(0ms)
Stage: GetCACaps
The server name or address could not be resolved 0x80072ee7 (WinHttp: 12007 ERROR_WINHTTP_NAME_NOT_RESOLVED)"
Error	2020/06/30 21:14:30	Microsoft-Windows-CertificateServicesClient-CertEnroll	86	None	"SCEP Certificate enrollment initialization for WORKGROUP\DESKTOP-ONOT1F3$ via https://IFX-KeyId-32c6e576663fee80d64cdd7b18e5603863b3bc8a.microsoftaik.azure.net/templates/Aik/scep failed:

GetCACaps

Method: GET(16ms)
Stage: GetCACaps
The server name or address could not be resolved 0x80072ee7 (WinHttp: 12007 ERROR_WINHTTP_NAME_NOT_RESOLVED)"
Error	2020/06/30 21:14:16	Service Control Manager	7000	None	"The ImControllerService service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/06/30 21:14:10	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/30 21:14:07	VBoxNetLwf	12	None	The driver detected an internal driver error on \Device\VBoxNetLwf.
Error	2020/06/30 21:11:52	Microsoft-Windows-DistributedCOM	10010	None	The server {9BA05972-F6A8-11CF-A442-00A0C90A8F39} did not register with DCOM within the required timeout.
Error	2020/06/30 21:11:52	Microsoft-Windows-DistributedCOM	10010	None	The server {9BA05972-F6A8-11CF-A442-00A0C90A8F39} did not register with DCOM within the required timeout.
Error	2020/06/30 21:11:52	Microsoft-Windows-DistributedCOM	10010	None	The server {9BA05972-F6A8-11CF-A442-00A0C90A8F39} did not register with DCOM within the required timeout.
Error	2020/06/30 18:53:48	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/30 18:47:01	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/30 15:28:14	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/30 15:07:27	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/30 14:26:31	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/30 13:17:52	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/30 03:14:55	Office 2016 Licensing Service	0	None	"The description for Event ID 0 from source Office 2016 Licensing Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Subscription licensing service failed: -2143485932
"
Error	2020/06/30 03:14:55	Microsoft Office 16	2011	None	Office Subscription licensing exception: Error Code: 0x803D0014; CorrelationId: {2390766D-F266-482A-99AC-CA3195E08765}
Error	2020/06/30 03:14:54	Microsoft Office 16	2011	None	Office Subscription licensing exception: Error Code: 0x803D0014; CorrelationId: {2390766D-F266-482A-99AC-CA3195E08765}
Error	2020/06/29 20:21:00	Microsoft-Windows-AppModel-State	13	None	Failure to instantiate storage folder C:\Users\Shili Jabulani\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\LocalCache for package Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe with Error Code: -2147024809
Error	2020/06/29 19:32:39	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/06/29 19:18:39	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/06/29 19:18:09	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/06/29 19:17:48	Microsoft-Windows-CertificateServicesClient-CertEnroll	86	None	"SCEP Certificate enrollment initialization for WORKGROUP\DESKTOP-ONOT1F3$ via https://IFX-KeyId-32c6e576663fee80d64cdd7b18e5603863b3bc8a.microsoftaik.azure.net/templates/Aik/scep failed:

GetCACaps

Method: GET(0ms)
Stage: GetCACaps
The server name or address could not be resolved 0x80072ee7 (WinHttp: 12007 ERROR_WINHTTP_NAME_NOT_RESOLVED)"
Error	2020/06/29 19:17:45	Microsoft-Windows-CertificateServicesClient-CertEnroll	86	None	"SCEP Certificate enrollment initialization for WORKGROUP\DESKTOP-ONOT1F3$ via https://IFX-KeyId-32c6e576663fee80d64cdd7b18e5603863b3bc8a.microsoftaik.azure.net/templates/Aik/scep failed:

GetCACaps

Method: GET(813ms)
Stage: GetCACaps
The server name or address could not be resolved 0x80072ee7 (WinHttp: 12007 ERROR_WINHTTP_NAME_NOT_RESOLVED)"
Error	2020/06/29 19:17:41	Service Control Manager	7000	None	"The System Interface Foundation Service service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/06/29 19:17:30	Service Control Manager	7000	None	"The ImControllerService service failed to start due to the following error: 
The system cannot find the file specified."
Error	2020/06/29 19:17:26	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/29 19:17:24	VBoxNetLwf	12	None	The driver detected an internal driver error on \Device\VBoxNetLwf.
Error	2020/06/29 19:17:00	VSS	8193	None	"Volume Shadow Copy Service error: Unexpected error calling routine CoCreateInstance.  hr = 0x8007045b, A system shutdown is in progress.
. "
Error	2020/06/29 19:17:00	VSS	13	None	"Volume Shadow Copy Service information: The COM Server with CLSID {4e14fba2-2e22-11d1-9964-00c04fbbb345} and name CEventSystem cannot be started. [0x8007045b, A system shutdown is in progress.
] "
Error	2020/06/29 19:16:55	Microsoft-Windows-DistributedCOM	10005	None	"DCOM got error ""1115"" attempting to start the service dosvc with arguments ""Unavailable"" in order to run the server:
{5B99FA76-721C-423C-ADAC-56D03C8A8007}"
Error	2020/06/29 19:12:02	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/29 16:57:09	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/29 16:18:17	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/29 15:58:55	Office 2016 Licensing Service	0	None	"The description for Event ID 0 from source Office 2016 Licensing Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Subscription licensing service failed: -2143485932
"
Error	2020/06/29 15:58:55	Microsoft Office 16	2011	None	Office Subscription licensing exception: Error Code: 0x803D0014; CorrelationId: {AF237CB5-821F-462C-BBAC-61B732A7E779}
Error	2020/06/29 15:58:53	Microsoft Office 16	2011	None	Office Subscription licensing exception: Error Code: 0x803D0014; CorrelationId: {AF237CB5-821F-462C-BBAC-61B732A7E779}
Error	2020/06/29 15:55:49	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/28 21:02:29	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/28 18:02:07	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/28 17:19:09	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/28 14:14:42	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/28 10:44:51	Office 2016 Licensing Service	0	None	"The description for Event ID 0 from source Office 2016 Licensing Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Subscription licensing service failed: -2147467259
"
Error	2020/06/28 10:41:50	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/28 03:09:35	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/28 00:09:32	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/27 20:48:44	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/27 18:53:26	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/27 14:05:31	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/27 13:17:31	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/27 10:17:21	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/27 09:04:47	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/27 05:28:32	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/26 18:06:42	Application Error	1000	(100)	"Faulting application name: MicrosoftPdfReader.exe, version: 11.0.18362.628, time stamp: 0x5e27c78c
Faulting module name: Windows.UI.Xaml.dll, version: 10.0.18362.657, time stamp: 0xda02d3eb
Exception code: 0xc000027b
Fault offset: 0x0000000000712ec0
Faulting process ID: 0x6434
Faulting application start time: 0x01d64bc711a489a5
Faulting application path: C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftPdfReader.exe
Faulting module path: C:\Windows\System32\Windows.UI.Xaml.dll
Report ID: 7e51b4b2-babb-47d9-b211-43fc14bfffde
Faulting package full name: Microsoft.MicrosoftEdge_44.18362.449.0_neutral__8wekyb3d8bbwe
Faulting package-relative application ID: PdfReader"
Error	2020/06/26 15:05:17	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/26 13:16:28	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/26 13:15:25	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/26 04:58:52	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/25 18:52:56	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/25 16:42:27	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/25 15:18:55	Office 2016 Licensing Service	0	None	"The description for Event ID 0 from source Office 2016 Licensing Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Subscription licensing service failed: -2147467259
"
Error	2020/06/25 15:16:07	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/25 05:26:41	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/25 01:58:14	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/25 00:15:32	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/24 23:05:14	Application Error	1000	(100)	"Faulting application name: AdobeNotificationClient.exe, version: 4.9.0.484, time stamp: 0x5d0b467b
Faulting module name: AdobeNotificationClient.exe, version: 4.9.0.484, time stamp: 0x5d0b467b
Exception code: 0x80000003
Fault offset: 0x0000b311
Faulting process ID: 0x730
Faulting application start time: 0x01d649a3e6abfd62
Faulting application path: C:\Program Files\WindowsApps\AdobeNotificationClient_1.0.1.22_x86__enpm4xejd91yc\AdobeNotificationClient.exe
Faulting module path: C:\Program Files\WindowsApps\AdobeNotificationClient_1.0.1.22_x86__enpm4xejd91yc\AdobeNotificationClient.exe
Report ID: 12075df4-66ce-4614-9d0f-ad6c66d31dff
Faulting package full name: AdobeNotificationClient_1.0.1.22_x86__enpm4xejd91yc
Faulting package-relative application ID: App"
Error	2020/06/24 20:34:15	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/24 16:27:11	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/24 15:42:41	Office 2016 Licensing Service	0	None	"The description for Event ID 0 from source Office 2016 Licensing Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Subscription licensing service failed: -2147467259
"
Error	2020/06/24 15:39:54	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/24 05:54:51	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/24 02:03:19	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/23 22:03:32	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/23 19:13:38	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/23 15:45:40	VBoxNetLwf	12	None	The driver detected an internal driver error on \Device\VBoxNetLwf.
Error	2020/06/23 14:24:28	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/23 14:24:27	VBoxNetLwf	12	None	The driver detected an internal driver error on \Device\VBoxNetLwf.
Error	2020/06/23 12:05:47	VBoxNetLwf	12	None	The driver detected an internal driver error on \Device\VBoxNetLwf.
Error	2020/06/23 11:54:53	VBoxNetLwf	12	None	The driver detected an internal driver error on \Device\VBoxNetLwf.
Error	2020/06/23 11:47:26	VBoxNetLwf	12	None	The driver detected an internal driver error on \Device\VBoxNetLwf.
Error	2020/06/23 11:46:47	VBoxNetLwf	12	None	The driver detected an internal driver error on \Device\VBoxNetLwf.
Error	2020/06/23 11:43:55	VBoxNetLwf	12	None	The driver detected an internal driver error on \Device\VBoxNetLwf.
Error	2020/06/23 11:43:12	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/23 05:16:33	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Error	2020/06/23 00:45:41	VBoxNetLwf	12	None	The driver detected an internal driver error on \Device\VBoxNetLwf.
Error	2020/06/23 00:15:41	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
